player,team,position,default_xmins
Rayan Aït-Nouri,Algeria,DEF,86.0
Ramy Bensebaini,Algeria,DEF,90.0
Aïssa Mandi,Algeria,DEF,87.22
Zinéddine Belaïd,Algeria,DEF,14.88
Rafik Belghali,Algeria,DEF,82.1
Achref Abada,Algeria,DEF,6.53
Mohammed Amoura,Algeria,FWD,83.75
Amine Gouiri,Algeria,FWD,70.81
Riyad Mahrez,Algeria,MID,74.96
Ibrahim Maza,Algeria,FWD,29.51
Anis Hadj Moussa,Algeria,FWD,20.0
Farès Ghedjemis,Algeria,FWD,6.53
Ahmed Benbouali,Algeria,FWD,6.53
Luca Zidane,Algeria,GK,6.53
Melvin Mastil,Algeria,GK,6.53
Adil Boulbina,Algeria,MID,8.9
Yacine Titraoui,Algeria,MID,6.53
Ramiz Zerrouki,Algeria,MID,33.97
Hicham Boudaoui,Algeria,MID,83.52
Houssem Aouar,Algeria,MID,22.53
Farès Chaïbi,Algeria,MID,71.04
Cristian Romero,Argentina,DEF,83.34
Marcos Senesi,Argentina,DEF,0.01
Nahuel Molina,Argentina,DEF,76.56
Nicolás Otamendi,Argentina,DEF,77.6
Nicolás Tagliafico,Argentina,DEF,80.2
Lionel Messi,Argentina,FWD,78.55
Julián Alvarez,Argentina,FWD,73.46
Giuliano Simeone,Argentina,MID,8.02
Nico González,Argentina,MID,24.65
José Manuel López,Argentina,FWD,0.01
Emiliano Martínez,Argentina,GK,87.51
Gerónimo Rulli,Argentina,GK,2.51
Juan Musso,Argentina,GK,0.01
Leandro Paredes,Argentina,MID,18.6
Rodrigo De Paul,Argentina,MID,80.33
Nico Paz,Argentina,MID,2.88
Valentín Barco,Argentina,MID,0.01
Exequiel Palacios,Argentina,MID,7.6
Thiago Almada,Argentina,MID,70.92
Alexis Mac Allister,Argentina,MID,76.17
Enzo Fernández,Argentina,MID,80.79
Jordan Bos,Australia,DEF,60.54
Alessandro Circati,Australia,DEF,84.42
Cameron Burgess,Australia,DEF,85.69
Milos Degenek,Australia,DEF,16.11
Aziz Behich,Australia,DEF,48.72
Jason Geria,Australia,DEF,29.37
Kai Trewin,Australia,DEF,2.75
Lucas Herrington,Australia,DEF,2.75
Nestory Irankunda,Australia,FWD,62.25
Nishan Velupillay,Australia,FWD,12.79
Jacob Italiano,Australia,DEF,81.43
Mathew Ryan,Australia,GK,88.06
Paul Izzo,Australia,GK,2.75
Patrick Beach,Australia,GK,2.75
Paul Okon,Australia,MID,75.09
Connor Metcalfe,Australia,MID,76.97
Aiden O'Neill,Australia,MID,68.28
Awer Mabil,Australia,MID,4.75
Ajdin Hrustic,Australia,MID,17.77
David Alaba,Austria,DEF,74.67
Philipp Lienhart,Austria,DEF,81.29
Alexander Prass,Austria,DEF,27.94
Kevin Danso,Austria,DEF,30.66
Stefan Posch,Austria,DEF,73.08
Phillipp Mwene,Austria,DEF,46.11
Marco Friedl,Austria,DEF,7.66
David Affengruber,Austria,DEF,0.0
Michael Svoboda,Austria,DEF,1.77
Marko Arnautovic,Austria,FWD,64.94
Michael Gregoritsch,Austria,FWD,55.03
Sasa Kalajdzic,Austria,FWD,0.0
Alexander Schlager,Austria,GK,83.42
Patrick Pentz,Austria,GK,6.58
Florian Wiegele,Austria,GK,0.0
Carney Chukwuemeka,Austria,MID,0.0
Konrad Laimer,Austria,MID,79.58
Alessandro Schöpf,Austria,MID,1.73
Florian Grillitsch,Austria,MID,12.24
Nicolas Seiwald,Austria,MID,85.36
Marcel Sabitzer,Austria,MID,84.86
Romano Schmid,Austria,MID,56.18
Patrick Wimmer,Austria,MID,52.77
Paul Wanner,Austria,MID,0.0
Xaver Schlager,Austria,MID,64.1
Maxim De Cuyper,Belgium,DEF,65.45
Timothy Castagne,Belgium,DEF,35.77
Arthur Theate,Belgium,DEF,39.97
Thomas Meunier,Belgium,DEF,57.68
Zeno Debast,Belgium,DEF,35.67
Axel Witsel,Belgium,MID,1.71
Koni De Winter,Belgium,DEF,8.04
Brandon Mechele,Belgium,DEF,67.93
Joaquin Seys,Belgium,DEF,3.34
Nathan Ngoy,Belgium,DEF,78.76
Romelu Lukaku,Belgium,FWD,16.53
Jérémy Doku,Belgium,MID,79.22
Dodi Lukébakio,Belgium,FWD,10.98
Alexis Saelemaekers,Belgium,MID,11.5
Charles De Ketelaere,Belgium,MID,63.44
Senne Lammens,Belgium,GK,6.41
Nicolas Raskin,Belgium,MID,21.29
Amadou Onana,Belgium,MID,72.77
Youri Tielemans,Belgium,MID,68.34
Kevin De Bruyne,Belgium,MID,79.52
Sead Kolasinac,Bosnia and Herzegovina,DEF,75.61
Amar Dedic,Bosnia and Herzegovina,DEF,82.32
Tarik Muharemovic,Bosnia and Herzegovina,DEF,85.52
Nikola Katic,Bosnia and Herzegovina,DEF,83.72
Stjepan Radeljic,Bosnia and Herzegovina,DEF,9.84
Nihad Mujakic,Bosnia and Herzegovina,DEF,7.87
Nidal Celik,Bosnia and Herzegovina,DEF,0.0
Ermedin Demirovic,Bosnia and Herzegovina,FWD,85.28
Edin Dzeko,Bosnia and Herzegovina,FWD,37.52
Jovo Lukic,Bosnia and Herzegovina,FWD,70.47
Haris Tabakovic,Bosnia and Herzegovina,FWD,8.21
Esmir Bajraktarevic,Bosnia and Herzegovina,FWD,62.88
Samed Bazdar,Bosnia and Herzegovina,FWD,9.6
Kerim Alajbegovic,Bosnia and Herzegovina,FWD,13.09
Nikola Vasilj,Bosnia and Herzegovina,GK,89.19
Martin Zlomislic,Bosnia and Herzegovina,GK,0.81
Amar Memic,Bosnia and Herzegovina,MID,68.14
Dzenis Burnic,Bosnia and Herzegovina,MID,24.86
Ivan Sunjic,Bosnia and Herzegovina,MID,28.04
Armin Gigovic,Bosnia and Herzegovina,MID,20.73
Ivan Basic,Bosnia and Herzegovina,MID,49.55
Benjamin Tahirovic,Bosnia and Herzegovina,MID,71.61
Amir Hadziahmetovic,Bosnia and Herzegovina,MID,1.86
Gabriel Magalhães,Brazil,DEF,84.17
Marquinhos,Brazil,DEF,84.81
Ibañez,Brazil,DEF,2.36
Douglas Santos,Brazil,DEF,79.51
Bremer,Brazil,DEF,2.01
Léo Pereira,Brazil,DEF,2.01
Vinícius Júnior,Brazil,MID,81.61
Matheus Cunha,Brazil,FWD,14.16
Gabriel Martinelli,Brazil,MID,22.71
Luiz Henrique,Brazil,FWD,16.61
Igor Thiago,Brazil,FWD,72.49
Rayan,Brazil,FWD,2.01
Endrick,Brazil,FWD,12.49
Alisson Becker,Brazil,GK,86.51
Fabinho,Brazil,MID,2.01
Casemiro,Brazil,MID,82.68
Lucas Paquetá,Brazil,MID,63.12
João Paulo,Cabo Verde,MID,6.07
Yannick Semedo,Cabo Verde,MID,6.07
Kevin Pina,Cabo Verde,MID,88.74
Steven Moreira,Cabo Verde,DEF,89.25
Wagner Pina,Cabo Verde,DEF,17.18
Pico,Cabo Verde,DEF,90.0
Kelvin Pires,Cabo Verde,DEF,6.07
Sidny Cabral,Cabo Verde,DEF,13.29
Diney,Cabo Verde,DEF,88.57
Ryan Mendes,Cabo Verde,FWD,74.0
Jovane Cabral,Cabo Verde,FWD,26.43
Dailon Livramento,Cabo Verde,FWD,70.69
Nuno da Costa,Cabo Verde,FWD,7.74
Garry Rodrigues,Cabo Verde,FWD,21.62
Willy Semedo,Cabo Verde,FWD,32.91
Vozinha,Cabo Verde,GK,90.0
CJ dos Santos,Cabo Verde,GK,6.07
Márcio da Rosa,Cabo Verde,GK,6.07
Telmo Arcanjo,Cabo Verde,MID,23.78
Deroy Duarte,Cabo Verde,MID,22.23
Laros Duarte,Cabo Verde,MID,10.02
Richie Laryea,Canada,DEF,72.02
Derek Cornelius,Canada,DEF,73.59
Joel Waterman,Canada,DEF,13.51
Luc De Fougerolles,Canada,DEF,74.68
Jonathan David,Canada,FWD,74.62
Cyle Larin,Canada,FWD,61.0
Tajon Buchanan,Canada,FWD,64.18
Liam Millar,Canada,FWD,61.5
Tani Oluwaseyi,Canada,FWD,20.65
Maxime Crépeau,Canada,GK,80.85
Dayne St. Clair,Canada,GK,9.15
Owen Goodman,Canada,GK,0.0
Ali Ahmed,Canada,MID,12.47
Niko Sigur,Canada,MID,20.14
Nathan Saliba,Canada,MID,12.63
Mathieu Choinière,Canada,MID,23.29
Jonathan Osorio,Canada,MID,14.29
Ismaël Koné,Canada,MID,68.16
Kevin Castaño,Colombia,MID,19.09
Richard Ríos,Colombia,MID,69.05
Daniel Muñoz,Colombia,DEF,84.92
Jhon Lucumí,Colombia,DEF,84.62
Dávinson Sánchez,Colombia,DEF,85.24
Déiver Machado,Colombia,DEF,13.58
Johan Mojica,Colombia,DEF,84.61
Santiago Arias,Colombia,DEF,14.3
Luis Díaz,Colombia,MID,83.88
Jhon Córdoba,Colombia,FWD,22.69
Luis Suárez,Colombia,FWD,70.61
Andrés Gómez,Colombia,FWD,0.45
Camilo Vargas,Colombia,GK,87.23
David Ospina,Colombia,GK,0.14
Álvaro Montero,Colombia,GK,3.05
Jefferson Lerma,Colombia,MID,77.9
Gustavo Puerta,Colombia,MID,0.14
Juan Fernando Quintero,Colombia,MID,6.6
Jaminton Campaz,Colombia,MID,4.98
Jhon Arias,Colombia,MID,70.36
James Rodríguez,Colombia,MID,71.12
Jorge Carrascal,Colombia,MID,7.86
Aaron Wan-Bissaka,Congo DR,DEF,86.63
Arthur Masuaku,Congo DR,DEF,83.52
Chancel Mbemba,Congo DR,DEF,88.85
Axel Tuanzebe,Congo DR,DEF,88.08
